25 25
1 2 3
1 3 2
1 5 3
1 6 2
1 9 3
1 10 2
1 11 3
1 13 3
1 16 2
1 19 2
1 20 3
1 21 1
1 23 2
2 2 2
2 4 2
2 5 1
2 8 2
2 11 2
2 12 2
2 14 1
2 17 2
2 18 1
2 23 0
3 1 3
3 2 3
3 4 3
3 10 3
3 11 2
3 14 2
3 15 2
3 19 3
3 21 2
3 23 0
4 5 0
4 6 2
4 8 3
4 9 0
4 11 2
4 14 3
4 17 2
4 20 3
4 22 3
5 1 3
5 2 2
5 10 2
5 17 2
5 19 0
5 21 2
5 22 1
6 4 3
6 5 3
6 7 1
6 10 2
6 15 2
6 17 2
6 18 0
7 1 1
7 8 3
7 10 2
7 11 1
7 13 2
7 14 1
7 16 2
7 19 3
7 20 3
7 23 1
8 1 1
8 2 1
8 4 2
8 5 2
8 6 2
8 7 2
8 11 2
8 16 2
8 17 2
8 19 1
8 20 2
8 21 2
8 23 3
9 3 0
9 6 2
9 9 1
9 13 2
9 14 3
9 16 2
9 22 0
10 1 1
10 4 2
10 8 3
10 9 2
10 10 3
10 12 2
10 13 2
10 14 1
10 17 3
10 18 2
10 21 2
11 1 0
11 2 2
11 4 2
11 5 2
11 7 1
11 10 2
11 11 3
11 13 3
11 15 0
11 17 2
11 18 2
11 20 3
12 1 2
12 7 3
12 9 3
12 14 0
12 16 3
12 22 3
12 23 2
13 1 3
13 3 1
13 7 3
13 12 3
13 13 1
13 15 1
13 17 3
13 22 2
14 3 2
14 4 2
14 5 1
14 7 1
14 8 2
14 9 2
14 10 1
14 13 2
14 14 3
14 15 2
14 22 2
15 5 3
15 9 2
15 12 2
15 18 2
15 19 0
15 20 3
15 22 2
16 1 2
16 3 2
16 5 1
16 6 1
16 7 3
16 9 2
16 13 1
16 15 3
16 16 2
16 17 2
16 18 3
17 1 3
17 2 2
17 3 1
17 6 0
17 11 2
17 13 1
17 16 2
17 17 2
17 19 0
17 20 3
17 21 2
17 23 3
18 2 2
18 3 2
18 4 2
18 5 3
18 7 3
18 9 2
18 12 2
18 13 2
18 14 2
18 16 3
18 19 1
19 4 2
19 8 2
19 9 2
19 13 2
19 14 2
19 18 2
19 19 1
19 23 3
20 1 3
20 2 3
20 4 3
20 5 2
20 7 2
20 10 3
20 11 2
20 14 1
20 16 2
20 17 2
20 19 2
20 20 2
20 22 3
21 3 2
21 4 2
21 5 2
21 6 2
21 7 2
21 12 2
21 14 3
21 20 3
21 23 1
22 1 0
22 5 3
22 8 1
22 11 2
22 12 0
22 13 0
22 14 3
22 16 2
22 18 0
22 19 0
22 20 2
23 1 2
23 8 1
23 11 3
23 18 2
23 19 2
23 22 1
23 23 3
