20 20
1 2 3
1 6 2
1 7 1
1 9 2
1 11 3
1 13 0
1 16 2
2 1 0
2 3 2
2 4 3
2 6 2
2 10 3
2 12 3
2 14 3
2 15 3
2 16 1
2 18 3
3 2 3
3 4 2
3 8 1
3 15 2
4 1 0
4 3 2
4 4 1
4 8 1
4 12 2
4 15 2
4 16 2
4 17 0
4 18 0
5 3 2
5 4 2
5 5 3
5 7 2
5 10 2
5 14 1
5 15 2
5 16 3
5 18 1
6 3 0
6 4 1
6 6 0
6 7 2
6 8 3
6 11 3
6 12 2
6 16 2
6 18 2
7 1 3
7 5 3
7 11 2
7 15 3
8 2 2
8 5 0
8 8 3
8 10 3
8 11 2
8 12 3
8 13 1
8 14 0
8 17 3
9 1 1
9 2 3
9 3 2
9 6 3
9 13 0
9 15 3
9 17 2
10 1 0
10 2 2
10 5 0
10 6 2
10 8 2
10 9 3
10 10 2
10 12 2
10 13 1
10 14 1
10 15 2
10 16 2
11 5 3
11 6 2
11 10 0
11 15 2
12 1 3
12 3 2
12 7 2
12 8 3
12 11 3
12 14 2
12 15 3
13 1 1
13 3 3
13 14 2
13 15 2
13 18 3
14 1 2
14 3 2
14 4 2
14 5 2
14 7 1
14 8 2
14 11 2
14 13 0
14 14 2
14 17 1
15 2 2
15 7 1
15 8 3
15 9 2
15 10 2
15 11 1
15 12 1
15 14 3
15 15 1
15 18 0
16 6 0
16 13 3
16 16 0
17 1 1
17 2 0
17 3 1
17 5 3
17 6 2
17 7 2
17 17 3
17 18 0
18 2 2
18 3 3
18 4 2
18 8 1
18 9 3
18 11 2
18 12 2
18 14 2
18 15 1
