30 25
1 2 2
1 3 3
1 6 3
1 7 2
1 8 3
1 10 3
1 11 3
1 12 3
1 16 2
1 19 2
1 20 2
1 22 2
1 24 2
2 3 1
2 4 3
2 6 3
2 7 2
2 9 2
2 10 2
2 11 2
2 13 2
2 14 2
2 16 3
2 18 2
2 19 1
2 20 1
3 2 2
3 3 2
3 4 3
3 5 1
3 6 2
3 7 2
3 8 1
3 9 1
3 14 2
3 16 1
3 18 3
3 19 2
3 20 3
3 21 1
3 22 2
3 23 1
3 25 2
4 1 3
4 2 2
4 3 2
4 5 1
4 7 3
4 12 1
4 14 1
4 17 3
4 18 1
4 21 3
4 25 2
5 4 3
5 5 1
5 7 2
5 8 1
5 9 3
5 12 1
5 13 2
5 15 3
5 16 0
5 17 3
5 19 3
5 20 0
5 23 1
5 24 2
5 25 1
6 3 2
6 4 3
6 8 2
6 11 2
6 13 3
6 14 2
6 16 2
7 3 1
7 4 2
7 8 1
7 9 3
7 10 2
7 11 1
7 16 3
7 18 3
7 19 2
7 20 3
7 21 1
7 22 3
7 23 2
7 24 2
8 2 2
8 3 2
8 7 3
8 8 1
8 10 3
8 11 2
8 12 3
8 17 2
8 18 1
8 20 2
9 2 1
9 3 2
9 11 1
9 12 3
9 13 1
9 14 3
9 20 2
9 23 2
9 24 1
10 1 2
10 2 2
10 4 2
10 5 1
10 8 3
10 9 1
10 11 2
10 14 3
10 17 3
10 20 1
10 24 2
10 25 1
11 2 2
11 4 3
11 6 3
11 8 3
11 9 0
11 10 2
11 11 3
11 16 2
11 17 0
11 19 2
11 22 1
11 23 2
11 24 2
12 1 2
12 2 2
12 4 1
12 5 1
12 6 1
12 7 1
12 8 3
12 12 2
12 14 2
12 16 2
12 19 2
12 21 2
12 23 2
12 25 2
13 1 3
13 2 2
13 3 3
13 4 3
13 5 2
13 6 2
13 8 3
13 9 1
13 10 1
13 14 3
13 18 3
13 24 2
14 2 2
14 5 2
14 7 1
14 10 3
14 11 2
14 15 2
14 16 2
14 18 2
14 19 0
14 20 1
14 21 2
14 22 1
14 23 3
15 1 1
15 2 2
15 3 2
15 5 2
15 6 2
15 7 2
15 11 2
15 16 2
15 17 2
15 23 2
15 24 2
16 1 2
16 4 1
16 5 2
16 8 2
16 9 2
16 10 2
16 14 3
16 15 3
16 16 2
16 17 2
16 20 2
17 1 3
17 2 2
17 4 2
17 5 2
17 9 2
17 10 1
17 11 3
17 12 2
17 14 1
17 15 2
17 17 3
17 18 1
17 19 1
17 20 1
17 21 2
17 22 0
17 24 2
18 4 1
18 13 2
18 14 2
18 15 3
18 16 1
18 20 3
18 21 2
18 22 3
18 24 1
18 25 1
19 2 2
19 4 3
19 6 3
19 7 1
19 8 3
19 9 2
19 11 1
19 12 3
19 13 2
19 14 3
19 15 2
19 16 3
19 17 3
19 20 3
19 24 1
20 1 2
20 6 2
20 8 2
20 9 2
20 11 2
20 12 1
20 13 1
20 14 1
20 16 2
20 18 2
20 19 2
20 20 1
20 23 3
20 24 3
21 6 3
21 8 2
21 11 2
21 14 2
21 16 3
21 21 3
21 23 1
21 24 2
21 25 2
22 1 1
22 2 3
22 3 2
22 4 3
22 5 2
22 12 1
22 13 1
22 16 2
22 17 1
22 19 1
22 20 2
22 23 2
22 24 3
23 1 3
23 2 2
23 4 1
23 5 3
23 6 2
23 7 2
23 8 2
23 9 3
23 10 3
23 12 1
23 13 1
23 14 2
23 15 1
23 16 2
23 17 1
23 20 2
23 21 1
23 24 1
24 1 2
24 2 2
24 3 2
24 4 1
24 5 3
24 6 1
24 9 1
24 11 1
24 14 3
24 19 2
24 20 1
24 22 2
24 23 2
24 24 3
25 1 3
25 2 2
25 6 1
25 7 2
25 9 2
25 11 2
25 15 2
25 18 2
25 19 2
25 20 2
25 24 1
26 2 3
26 3 1
26 5 2
26 6 1
26 9 1
26 10 3
26 13 2
26 15 2
26 17 2
26 18 2
26 20 1
26 22 1
26 23 1
26 24 1
27 3 2
27 5 3
27 6 2
27 7 3
27 8 3
27 9 2
27 10 1
27 11 3
27 17 2
27 18 2
27 20 3
27 23 3
27 24 2
28 2 2
28 5 3
28 8 1
28 15 2
28 17 1
29 2 3
29 3 3
29 4 2
29 6 1
29 11 1
29 12 2
29 13 3
29 15 3
29 16 1
29 18 1
29 19 2
29 20 3
29 22 3
29 25 2
30 4 2
30 6 2
30 9 1
30 11 2
30 15 3
30 16 1
30 20 1
30 21 3
30 22 1
30 23 2
