20 20
1 2 1
1 5 2
1 7 3
1 8 2
1 10 2
1 11 3
1 12 2
1 13 3
1 17 2
1 18 2
1 19 2
2 2 3
2 3 2
2 5 2
2 6 2
2 7 1
2 9 2
2 10 3
2 12 1
2 14 2
2 17 3
2 20 2
3 3 0
3 4 0
3 6 3
3 8 2
3 9 1
3 10 1
3 11 3
3 12 1
3 14 3
3 18 2
3 20 2
4 3 0
4 6 2
4 9 3
4 12 1
4 14 3
4 15 1
4 17 2
4 18 3
4 19 0
4 20 3
5 1 2
5 2 2
5 3 3
5 8 2
5 9 3
5 12 3
5 17 1
5 18 3
5 20 3
6 4 2
6 5 2
6 6 2
6 9 2
6 10 2
6 12 1
6 13 2
6 14 2
6 15 2
6 20 2
7 1 1
7 2 2
7 5 1
7 7 0
7 8 3
7 10 3
7 19 3
8 1 3
8 7 2
8 14 1
8 15 1
8 16 1
8 17 2
8 18 2
8 20 3
9 1 2
9 3 3
9 4 3
9 5 3
9 7 1
9 9 2
9 11 1
9 12 1
9 14 3
9 16 3
9 17 2
9 18 1
9 20 2
10 1 2
10 2 2
10 3 2
10 4 0
10 8 1
10 10 1
10 11 2
10 13 2
10 14 3
10 18 2
10 19 2
10 20 2
11 2 2
11 9 2
11 10 2
11 14 1
11 19 3
12 1 3
12 2 1
12 3 2
12 4 0
12 5 3
12 7 1
12 13 0
12 15 2
12 17 3
12 18 3
12 19 1
12 20 2
13 1 3
13 4 2
13 10 1
13 12 1
13 13 1
13 17 0
14 1 2
14 4 1
14 5 2
14 7 2
14 10 2
14 14 3
14 18 3
15 1 3
15 4 2
15 7 3
15 12 3
15 13 1
15 14 3
15 15 0
15 16 3
15 17 2
15 18 1
15 20 1
16 1 2
16 2 2
16 4 2
16 6 2
16 10 2
16 11 2
16 13 2
16 20 3
17 1 3
17 2 2
17 4 3
17 5 1
17 10 1
17 11 2
17 13 2
17 15 1
17 16 3
17 20 2
18 2 3
18 4 2
18 11 3
18 12 2
18 13 2
18 14 2
18 15 2
18 17 1
19 2 1
19 4 2
19 5 3
19 6 2
19 7 3
19 10 1
19 11 2
19 12 1
19 13 2
19 14 1
19 15 1
19 16 3
19 17 1
19 18 2
19 19 1
19 20 2
20 2 3
20 6 2
20 9 2
20 12 2
20 17 2
