25 25
1 2 3
1 7 3
1 8 3
1 10 1
1 11 0
1 13 1
1 14 3
1 15 2
1 17 2
1 20 3
1 21 2
2 1 0
2 2 2
2 3 2
2 4 3
2 6 0
2 9 3
2 10 3
2 12 3
2 13 2
2 14 2
2 15 2
2 17 0
2 18 3
2 21 3
2 22 2
2 23 1
3 1 2
3 2 2
3 4 2
3 8 1
3 10 1
3 11 2
3 12 2
3 14 2
3 15 2
3 21 2
3 23 3
4 4 2
4 6 2
4 7 2
4 8 2
4 11 3
4 12 2
4 13 3
4 14 2
4 17 2
4 18 2
4 19 3
4 20 2
4 22 0
4 23 1
5 3 2
5 4 3
5 5 2
5 7 2
5 13 2
5 14 2
5 16 1
5 18 3
5 19 2
5 22 0
6 1 1
6 3 1
6 5 3
6 7 0
6 8 2
6 9 2
6 12 2
6 15 0
6 16 1
6 17 1
6 21 1
6 22 2
6 23 2
7 3 3
7 4 2
7 6 1
7 7 1
7 8 1
7 10 3
7 11 2
7 13 3
7 14 1
7 17 1
7 18 1
7 20 2
7 22 3
8 1 3
8 2 2
8 5 2
8 7 3
8 10 1
8 12 2
8 14 2
8 15 3
8 16 3
8 18 2
9 2 3
9 5 3
9 6 2
9 7 2
9 12 3
9 14 2
9 16 2
9 17 1
9 18 3
9 19 2
9 20 2
9 22 2
9 23 2
10 2 3
10 3 0
10 4 1
10 5 2
10 6 2
10 7 2
10 8 2
10 9 2
10 11 1
10 12 1
10 14 2
10 15 2
10 16 3
10 21 2
10 22 2
10 23 3
11 2 2
11 4 3
11 6 1
11 8 1
11 10 3
11 13 3
11 15 2
11 16 2
11 18 2
11 21 2
11 23 0
12 1 1
12 6 1
12 10 2
12 13 2
12 16 3
12 19 1
12 20 2
12 22 1
13 3 1
13 7 2
13 9 2
13 10 2
13 12 2
13 13 3
13 15 3
13 16 2
13 17 2
13 18 1
13 20 3
13 22 1
13 23 1
14 1 2
14 4 3
14 5 2
14 7 2
14 8 2
14 10 2
14 11 2
14 12 2
14 14 1
14 15 2
14 19 0
14 20 1
14 22 1
14 23 1
15 1 2
15 3 3
15 4 2
15 5 3
15 8 2
15 9 3
15 11 2
15 12 3
15 14 3
15 16 2
15 17 2
15 20 0
15 22 2
16 1 2
16 2 1
16 3 1
16 6 0
16 7 1
16 9 2
16 10 1
16 11 3
16 12 2
16 13 0
16 15 1
16 16 2
16 20 2
16 22 2
17 4 3
17 5 1
17 6 1
17 9 2
17 14 3
17 16 3
17 17 2
17 22 2
18 2 2
18 4 2
18 7 3
18 9 0
18 10 2
18 11 2
18 12 2
18 14 2
18 18 2
18 20 2
19 3 3
19 4 2
19 5 2
19 7 3
19 10 0
19 13 1
19 15 2
19 16 2
19 17 2
19 18 3
19 19 2
19 20 3
19 21 2
19 23 2
20 1 3
20 8 2
20 9 3
20 10 2
20 12 3
20 13 2
20 15 3
20 16 2
20 17 2
20 19 1
20 20 3
20 22 2
20 23 2
21 2 0
21 5 3
21 9 1
21 11 2
21 12 3
21 16 1
21 20 2
21 22 3
22 2 2
22 3 3
22 5 2
22 6 2
22 8 3
22 12 2
22 14 3
22 16 1
22 17 2
22 19 2
22 20 1
22 21 0
22 23 1
23 3 1
23 5 3
23 6 2
23 8 2
23 9 0
23 10 2
23 15 0
23 16 2
23 19 2
23 21 0
23 22 2
23 23 3
