20 20
1 2 2
1 3 1
1 6 2
1 9 2
1 10 1
1 12 2
1 16 1
1 18 2
1 20 3
2 6 0
2 7 2
2 9 2
2 12 2
2 13 3
2 14 1
2 15 3
2 18 2
3 2 2
3 3 1
3 4 3
3 5 3
3 7 0
3 8 3
3 11 2
3 12 1
3 14 2
3 16 2
3 17 2
3 18 1
4 3 2
4 4 2
4 5 0
4 6 3
4 9 1
4 12 3
4 16 3
4 18 2
5 2 1
5 3 2
5 4 3
5 6 3
5 10 2
5 11 3
5 12 2
5 13 0
5 16 2
5 19 2
6 1 3
6 2 2
6 3 3
6 6 1
6 7 3
6 8 1
6 9 2
6 10 0
6 11 2
6 12 3
6 13 2
6 15 1
6 16 2
6 17 2
6 20 2
7 1 2
7 5 2
7 6 2
7 7 3
7 8 1
7 10 2
7 11 2
7 12 2
7 13 1
7 14 2
7 16 2
7 20 1
8 1 2
8 2 3
8 5 2
8 8 2
8 9 2
8 16 0
8 18 1
8 19 2
8 20 3
9 2 2
9 5 2
9 7 2
9 8 3
10 2 3
10 4 1
10 5 2
10 6 2
10 7 0
10 10 2
10 13 1
10 14 3
10 17 1
10 18 2
10 19 2
10 20 2
11 1 2
11 5 2
11 6 3
11 9 2
11 10 2
11 15 2
11 16 3
11 17 2
11 18 3
12 1 3
12 3 3
12 4 1
12 8 2
12 10 1
12 13 1
12 15 2
12 19 1
13 1 2
13 3 2
13 10 3
13 12 2
13 13 3
13 15 2
13 18 2
13 19 2
14 1 3
14 4 2
14 6 2
14 8 2
14 11 1
14 12 3
14 14 1
14 18 1
14 19 2
15 1 2
15 2 2
15 3 2
15 4 1
15 8 1
15 9 2
15 10 3
15 18 2
16 1 2
16 2 2
16 3 1
16 4 2
16 6 1
16 7 1
16 8 2
16 11 2
16 12 2
16 14 3
16 16 2
16 17 2
16 18 3
16 19 2
16 20 2
17 1 2
17 6 1
17 9 3
17 12 2
17 14 1
17 19 1
17 20 3
18 1 2
18 3 1
18 4 1
18 6 1
18 9 2
18 13 2
18 14 3
18 16 1
18 18 3
18 19 2
18 20 2
19 1 1
19 3 1
19 4 2
19 6 2
19 7 3
19 9 3
19 13 3
19 14 1
19 20 2
20 1 3
20 5 1
20 6 2
20 8 2
20 9 2
20 10 0
20 11 2
20 13 2
20 16 1
20 17 3
20 18 2
20 19 2
20 20 3
