30 25
1 2 2
1 3 1
1 4 3
1 7 3
1 12 2
1 13 2
1 14 2
1 16 1
1 17 2
1 18 2
1 20 2
1 22 2
1 25 3
2 1 2
2 3 2
2 5 2
2 6 2
2 9 2
2 10 3
2 14 3
2 16 3
2 17 2
2 20 0
2 23 2
2 24 2
3 3 0
3 6 1
3 7 2
3 9 0
3 11 3
3 12 2
3 14 2
3 19 3
3 21 1
3 22 2
3 23 2
3 24 2
4 3 3
4 4 3
4 5 2
4 6 2
4 7 1
4 10 3
4 11 1
4 15 2
4 21 3
4 22 2
5 2 1
5 4 2
5 8 2
5 11 2
5 13 3
5 15 3
5 17 1
5 19 3
5 21 3
5 24 3
6 2 2
6 3 1
6 4 3
6 9 3
6 10 2
6 11 2
6 12 2
6 13 2
6 14 2
6 16 3
6 21 2
6 24 2
6 25 1
7 3 2
7 6 2
7 7 2
7 14 3
7 15 2
7 16 3
7 18 3
7 19 3
7 25 2
8 1 2
8 3 3
8 6 2
8 8 3
8 9 1
8 14 2
8 15 1
8 16 1
8 22 1
8 23 2
9 1 2
9 5 3
9 9 2
9 11 1
9 12 2
9 18 1
9 20 3
9 23 3
9 25 2
10 1 2
10 2 1
10 4 3
10 7 2
10 9 3
10 10 1
10 11 2
10 14 3
10 17 3
10 19 3
10 22 2
10 25 3
11 1 3
11 2 3
11 5 2
11 7 2
11 9 3
11 11 3
11 12 2
11 13 1
11 15 2
11 16 2
11 21 3
11 24 2
11 25 3
12 3 3
12 11 2
12 12 2
12 13 2
12 19 3
12 22 1
12 25 3
13 1 2
13 4 2
13 5 2
13 6 3
13 8 3
13 10 1
13 11 2
13 15 2
13 16 0
13 17 3
13 21 3
13 22 2
13 24 2
14 1 2
14 2 2
14 6 2
14 10 3
14 11 3
14 13 3
14 14 1
14 16 3
14 18 2
14 19 2
14 22 2
14 23 2
14 24 2
15 2 2
15 6 2
15 8 3
15 10 2
15 13 2
15 15 2
15 18 3
15 20 2
15 21 2
15 23 3
15 24 2
16 3 2
16 4 1
16 6 1
16 10 3
16 12 0
16 14 1
16 17 2
16 19 3
16 21 2
16 22 1
17 1 1
17 3 1
17 4 1
17 7 2
17 8 2
17 16 2
17 22 2
18 3 3
18 5 2
18 6 2
18 8 2
18 9 3
18 10 3
18 12 3
18 13 1
18 14 3
18 15 1
18 16 2
18 17 2
18 18 3
18 19 2
18 20 2
18 23 3
18 24 2
19 1 3
19 2 2
19 3 2
19 4 2
19 5 2
19 6 2
19 7 1
19 8 2
19 9 1
19 12 3
19 16 1
19 20 2
19 22 1
19 24 2
20 1 3
20 2 1
20 4 3
20 9 1
20 10 1
20 11 3
20 12 1
20 13 2
20 14 2
20 15 2
20 18 3
21 6 1
21 10 1
21 14 2
21 15 2
21 16 2
21 19 3
21 21 3
21 23 3
21 24 2
21 25 3
22 1 2
22 2 1
22 4 2
22 5 2
22 6 3
22 7 2
22 9 1
22 10 2
22 16 2
22 22 2
22 23 1
22 24 2
22 25 1
23 1 2
23 3 2
23 5 2
23 7 2
23 11 1
23 13 1
23 15 2
23 16 1
23 19 3
23 25 3
24 4 3
24 5 3
24 6 3
24 8 2
24 11 2
24 16 0
24 17 1
24 19 1
24 20 3
24 22 3
24 25 2
25 2 2
25 3 1
25 4 1
25 6 2
25 7 2
25 8 3
25 10 3
25 11 1
25 12 1
25 15 3
25 17 2
25 19 1
25 20 1
25 21 1
25 23 2
25 24 1
26 4 2
26 5 1
26 7 2
26 17 3
26 20 2
26 23 2
26 24 1
26 25 2
27 1 3
27 5 1
27 6 2
27 13 2
27 14 2
27 15 2
27 23 3
27 25 2
28 2 2
28 5 1
28 8 2
28 9 3
28 12 2
28 18 2
28 19 2
28 20 2
28 22 1
29 2 1
29 6 1
29 7 2
29 9 3
29 11 3
29 12 1
29 13 3
29 15 2
29 16 1
29 19 2
29 21 1
29 22 2
29 23 3
29 25 2
30 2 3
30 4 2
30 6 2
30 8 3
30 14 2
30 16 3
30 17 3
30 19 0
30 23 0
