20 20
1 1 3
1 4 2
1 7 2
1 15 2
1 17 2
1 18 2
1 19 2
2 3 2
2 4 1
2 6 2
2 7 0
2 10 2
2 12 2
2 13 2
2 16 3
2 17 2
2 20 2
3 1 3
3 3 3
3 6 3
3 8 1
3 9 3
3 11 3
3 15 3
3 16 0
3 18 1
3 20 2
4 1 3
4 2 1
4 7 3
4 13 1
4 14 1
4 15 2
4 17 3
4 19 1
5 2 3
5 4 1
5 5 3
5 7 3
5 9 3
5 10 2
5 16 2
6 7 1
6 9 2
6 10 0
6 14 2
6 16 1
6 18 2
7 1 2
7 3 2
7 4 3
7 8 2
7 9 2
7 12 0
7 13 2
7 14 1
7 15 2
7 16 2
7 18 1
7 20 1
8 2 3
8 5 1
8 6 1
8 7 2
8 11 1
8 13 3
8 14 3
9 1 3
9 3 3
9 4 3
9 9 2
9 15 2
9 16 2
9 19 2
9 20 2
10 8 3
10 9 3
10 15 3
10 16 1
10 20 1
11 1 3
11 7 3
11 11 3
11 13 2
11 15 3
11 17 1
11 19 3
11 20 2
12 2 2
12 4 2
12 6 2
12 12 3
12 13 3
12 17 1
12 19 2
12 20 1
13 1 3
13 4 2
13 7 1
13 9 1
13 12 2
13 15 2
13 16 3
13 17 2
13 20 2
14 2 3
14 4 1
14 5 2
14 6 2
14 7 3
14 9 3
14 10 3
14 11 2
14 14 2
14 17 2
14 19 2
14 20 1
15 1 2
15 2 3
15 14 3
15 15 2
15 17 1
16 4 1
16 5 1
16 6 3
16 7 2
16 11 3
16 12 3
16 17 2
16 20 2
17 2 2
17 6 3
17 9 3
17 11 2
17 14 2
17 17 1
17 18 2
18 1 1
18 2 1
18 4 2
18 6 3
18 11 1
18 14 3
18 15 2
18 17 3
18 18 1
18 20 1
19 2 3
19 3 3
19 8 1
19 9 3
19 15 2
19 16 1
19 18 2
20 2 1
20 4 2
20 5 3
20 7 3
20 12 2
20 14 3
20 15 3
20 19 2
