25 25
1 1 1
1 4 2
1 5 1
1 6 3
1 8 1
1 12 0
1 13 2
1 16 3
1 17 2
1 20 3
1 23 3
2 1 0
2 5 1
2 11 3
2 12 2
2 14 2
2 20 3
2 21 1
2 22 2
2 23 2
3 7 0
3 8 3
3 16 3
3 17 1
3 18 1
3 20 2
3 21 2
4 1 0
4 2 2
4 11 2
4 13 2
4 17 2
4 18 2
4 19 3
5 2 3
5 5 0
5 6 1
5 10 2
5 11 2
5 12 2
5 13 2
5 14 2
5 15 3
5 17 1
5 20 2
5 21 2
6 1 2
6 4 2
6 5 1
6 8 2
6 12 2
6 17 2
6 18 2
7 1 3
7 4 2
7 8 3
7 10 2
7 13 2
7 15 1
7 17 2
7 20 3
7 21 2
7 22 2
7 23 2
8 1 3
8 5 0
8 6 2
8 8 2
8 9 1
8 11 2
8 13 2
8 14 3
8 17 3
8 18 2
8 19 2
8 20 3
8 22 2
9 1 3
9 6 3
9 8 1
9 9 1
9 10 3
9 11 2
9 12 2
9 17 3
9 18 2
9 19 2
9 22 2
9 23 3
10 1 3
10 2 2
10 4 3
10 8 1
10 10 1
10 11 1
10 13 1
10 15 3
10 16 2
10 19 2
11 5 2
11 6 2
11 7 2
11 8 2
11 10 1
11 16 3
11 18 2
11 19 2
11 22 2
11 23 2
12 1 1
12 2 2
12 5 2
12 9 3
12 12 3
12 13 2
12 14 3
12 15 2
12 17 2
12 19 2
12 22 0
13 1 3
13 5 1
13 6 3
13 10 1
13 15 2
13 16 2
13 17 2
13 18 2
14 4 1
14 5 2
14 8 3
14 10 2
14 11 3
14 12 2
14 13 3
14 14 2
14 15 2
14 16 2
14 21 1
14 23 1
15 3 3
15 8 3
15 12 0
15 17 3
15 18 2
15 19 2
15 23 0
16 1 3
16 5 2
16 11 1
16 13 0
16 15 2
17 4 3
17 6 3
17 7 3
17 10 3
17 12 3
17 14 1
17 16 2
17 17 2
17 18 3
17 20 3
17 21 2
17 22 0
18 1 3
18 2 2
18 4 3
18 5 2
18 7 1
18 13 0
18 14 0
18 15 2
18 17 0
18 21 1
18 23 0
19 1 3
19 2 0
19 5 2
19 8 3
19 10 1
19 12 0
19 15 2
19 19 3
19 23 3
20 4 2
20 5 1
20 7 0
20 8 1
20 11 3
20 13 3
20 17 2
20 22 2
21 2 0
21 6 3
21 12 2
21 13 2
21 16 0
21 17 2
21 18 2
21 19 2
21 20 2
21 22 1
22 1 3
22 4 2
22 8 1
22 9 3
22 12 2
22 13 2
22 14 2
23 2 1
23 4 0
23 5 2
23 8 2
23 10 2
23 11 2
23 13 2
23 16 3
23 19 0
23 21 2
23 23 2
